A1,A2Colonia,A3,A4Equipo,A5,A6Colonia IP Fija,A7,A8Equipo,A9,A10Rosario,A11,A12Equipo,A13,A14Nueva Helvecia,A15,A16Equipo,A17,A18,A19Carmelo,A20,A21Equipo,A22,A23Tarariras,A24,A25Equipo,A26,A27Nueva Palmira Planta externa,A28,A29Equipo,A30,A31Juan Lacaze,A32,A33Equipo,A34,A35Provisorio Juan Lacaze,A36,A37Equipo,A38,A39Colonia Valdense,A40,A41Equipo,A42,A43Colonia Valdense Comercial,A44,A45Equipo,A46,A47Conchillas Viejo,A48,A49Equipo,A50,A51Ombues de Lavalle,A52,A53Equipo,A54,A55Supermercado Caso Nelson,A56,A57Equipo,A58,A59Puerto Colonia,A60,A61Equipo,A62,A63Conchillas,A64,A65Equipo,A66,A67Nueva Palmira,A68,A69Equipo,A70,A71Nueva Helvecia Centro Comerical (BPS),A72,A73Equipo
Rango Eq. Comunic,10.42.1,1,,,10.42.0,1,,,10.42.17,1,,,10.42.65,1,,,,10.42.33,1,,,10.42.49,1,,,10.42.97,1,,,10.42.113,1,,,10.42.217,1,,,10.42.129,1,,,10.42.185,1,,,10.42.145,1,,,10.42.81,1,,,10.42.161,1,,,10.42.177,1,,,10.42.208,1,,,10.42.192,1,,,10.42.200,1,
Rango Eq. Comunic,,2,,,,2,,,,2,,,,2,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
Rango Eq. Comunic,,3,,,,3,,,,3,,,,3,,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,
Rango Eq. Comunic,,4,,,,4,,,,4,,,,4,,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,
Rango Eq. Comunic,,5,,,,5,,,,5,,,,5,,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,
Rango Eq. Comunic,,6,,,,6,,,,6,,,,6,,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,
Rango Eq. Comunic,,7,,,,7,,,,7,,,,7,,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,
Rango Eq. Comunic,,8,,,,8,,,,8,,,,8,,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,
Rango Eq. Comunic,,9,,,,9,,,,9,,,,9,,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,
Rango Eq. Comunic,,10,,,,10,,,,10,,,,10,,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,
Rango Eq. Comunic,,11,,,,11,,,,11,,,,11,,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,
Rango Eq. Comunic,,12,,,,12,,,,12,,,,12,,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,
Rango Eq. Comunic,,13,,,,13,,,,13,,,,13,,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,
Rango Eq. Comunic,,14,,,,14,,,,14,,,,14,,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,
Rango Print Servers,,15,L0160424,,,15,,,,15,L1160274,,,15,Ocupada,L4160107,,,15,Ocupada,L2160273,,15,Ocupada,L3160602,,15,,,,15,,,,15,LD960277,,,15,,,,15,LB960600,,,15,,,,15,,,,15,,,,15,LB160838,,,15,L9160601,,,15,LC060929,,,15,Liberada
Rango Print Servers,,16,L0160118,,,16,,,,16,L1160280,Liberada,,16,,,,,16,Ocupada,L2160308,,16,Ocupada,L3160869,,16,Ocupada,L6160423,,16,L7160988,,,16,LD960988,,,16,L8160998,,,16,ocupada,L8161104,,16,,,,16,L5160585,,,16,,,,16,,,,16,ocupada,LD061040,,16,LC060278,,,16,LC860276
Rango Print Servers,,17,L0160242,,,17,,,,17,L1160867,,,17,Ocupada,L4160416,,,17,Ocupada,L2160833,,17,Ocupada,L3161002,,17,,,,17,L7161769,,,17,,,,17,L8161774,,,17,L8161150,,,17,,,,17,L5161032,,,17,,,,17,,,,17,ocupada,L9161103,,17,LC061529,,,17,LC861768
Rango Print Servers,,18,L0160271,,,18,,,,18,L1160868,,,18,Ocupada,L4160924,,,18,Ocupada,L2160883,,18,L3161772,,,18,Ocupada,L6161029,,18,L7161031,,,18,,,,18,,,,18,LB961786,,,18,liberada,,,18,L5160921,,,18,,,,18,,,,18,LD061771,,,18,LC061767,,,18,
Rango Print Servers,,19,L0160469,,,19,,,,19,L1160986,,,19,Ocupada ,L4161857,,,19,Ocupada,L2160935,,19,,,,19,,,,19,Libre,,,19,LD961874,,,19,,,,19,,,,19,,,,19,L5161766,,,19,,,,19,,,,19,,,,19,,,,19,
Rango Print Servers,,20,L0160930,,,20,,,,20,L1160999,,,20,Ocupada,Interventora,,,20,Ocupada,L2160936,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,
Rango Print Servers,,21,L0160931,,,21,,,,21,L1161295,,,21,,,,,21,Ocupada,L2160937,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,
Rango Print Servers,,22,L0160932,,,22,,,,22,L1161330,,,22,Ocupada,L4160273,,,22,Ocupada,L2161030,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,
Cámaras de CCTV,,23,L0160933,,,23,,,,23,L1161450,Liberada,,23,,,,,23,ocupada,L2161079,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,
Cámaras de CCTV,,24,L0160985,,,24,,,,24,L1161453,,,24,,,,,24,Ocupada,L2161773,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,
Cámaras de CCTV,,25,DVR,,,25,,,,25,L1161789,Interventora,,25,,,,,25,Ocupada,L2161775,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,
Cámaras de CCTV,,26,L0161776,,,26,,,,26,Interventora,,,26,,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,
Cámaras de CCTV,,27,L0161777,,,27,,,,27,L1162053,,,27,,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,
Cámaras de CCTV,,28,,,,28,,,,28,,,,28,,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,
Cámaras de CCTV,,29,,,,29,,,,29,,,,29,,,,,29,Ocupada,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,
Cámaras de CCTV,,30,Ocupada,,,30,,,,30,,,,30,,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,
Cámaras de CCTV,,31,,,,31,,,,31,ocupada,,,31,,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,
RANGO SNA Basico,,32,L0102085,,,32,,,,32,,,,32,Ocupada,L4180273,,,32,Ocupada,L2101459,,32,Ocupada,L3180132,,32,,,,32,L7180272,,,32,L7180272,,,32,L8180350,,,32,,,,32,L9180353,,,32,L5180361,,,32,,,,32,,,,32,ocupada,LD080353,,32,LC080235,,,32,Liberada
RANGO SNA Basico,,33,L0103379,,,33,,,,33,,,,33,Ocupada,L4180543,,,33,Ocupada,L2103376,,33,Ocupada,L3100854,,33,,,,33,L7180855,,,33,,,,33,Liberada,,,33,LB980230,,,33,L9180856,,,33,L5180853,,,33,,,,33,,,,33,ocupada,LD080856,,33,L6180271,,,33,
