A1,A2Maldonado,A3,A4Equipo,A5,A6Maldonado,A7,A8Equipo,A9,A10Maldonado,A11,A12Equipo,A13,A14Maldonado Plaza,A15,A16Equipo,A17,A18Piriapolis,A19,A20Equipo,A21,A22Parada 5,A23,A24Equipo,A25,A26Peninsula,A27,A28Equipo,A29,A30Paseo de la Pasiva Piriapolis,A31,A32Equipo,A33,A34San Carlos,A35,A36Equipo,A37,A38Pan de Azucar,A39,A40Equipo,A41,A42Aeropuerto Laguna del Sauce,A43,A44Equipo,A45,A46Deposito Maldonado,A47,A48Equipo,A49,A50Aigua,A51,A52Equipo,A53,A54Puerto Punta del Este,A55,A56Equipo,A57,A58Balneario Solis,A59,A60Equipo,A61,A62La Barra,A63,A64Equipo,A65,A66Portezuelo,A67,A68Equipo,A69,A70José Ignacio,A71,A72Equipo,A73,A74Gregorio Aznares,A75,A76Equipo,A77,A78almacenes maldonado,A79,A80Equipo,A81,A82Punta Shopping,A83,A84Equipo,A85,A86Tienda La Barra,A87Cerrado,A88Equipo,A89,A90Cerro Pelado,A91,A92Equipo,A93,A94Garage Maldonado y TOSSI,A95,A96Equipo,A97,A98Planta Externa TOSSI,A99,A100Equipo
,10.58.1,1,Gateway,,10.58.0,1,,,10.58.2,1,Reservada,,10.58.81,1,,,10.58.65,1,,,10.58.17,1,,,10.58.33,1,,,10.58.217,1,,,10.58.49,1,,,10.58.113,1,,,10.58.129,1,,,10.58.177,1,,,10.58.97,1,,,10.58.193,1,,,10.58.161,1,,,10.58.209,1,,,10.58.225.,1,,,10.58.233.,1,,,10.58.226.,1,,,10.58.177.,1,,,10.58.240.,1,,,10.58.248.,1,,,10.58.88.,1,,,10.58.184.,1,,,10.58.188.,1,
,,2,Reservada,,,2,,,,2,Reservada,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
,,3,Reservada,,,3,,,,3,Reservada,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,
,,4,1841_BI_02,,,4,,,,4,Reservada,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,
,,5,1841_BI_01,,,5,,,,5,Reservada,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,
,,6,LIBERADA,,,6,,,,6,Reservada,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,
,,7,LIBERADA,,,7,,,,7,Reservada,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,
,,8,LIBERADA,,,8,,,,8,Switch,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,
,,9,LIBERADA,,,9,,,,9,Switch,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,
,,10,LIBERADA,,,10,,,,10,Switch,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,
