1,2,3Paso Molino,4,5Equipo,6,7Aguada planta interna,8,9Equipo,10,11,12Union,13,14Equipo,15,16Union Distribución de Facturas y Telegrafo,17,18Equipo,19,20Barbato,21,22Equipo,23,24Manga,25,26Equipo,27,28,29Cerrito,30,31Equipo,32,33,34Cerrito IP fija,35,36Equipo,37,38Telecentro Plaza,39,40Equipo,41,42Telecentro Union,43,44Equipo,45,46Depósito Bella Vista,47,48Equipo,49,50Colon Centro Comercial,51,52Equipo,53,54Casona Maldonado,55,56Equipo,57,58Pocitos Libertad,59,60Equipo,61,62Htal. Clinicas,63,64Equipo,65,66Malvin,67,68Equipo,69,70,71Telecentro Tres Cruces,72,73Equipo,74,75Aeropuerto Internacionl de Carrasco,76,77Equipo,78,79Central Cordon,80,81Equipo,82,83Telecentro Cerro,84,85Equipo,86,87Central Colon,88,89Equipo,90,91Piedras Blancas,92,93Equipo,94,95Paso de la Arena,96,97Equipo,98,99Santiago Vazquez,100,101Equipo,102,103Sayago,104,105Equipo,106,107Calle Canaro (ex-Pocitos),108,109Equipo,110,111Pocitos,112,113Equipo,114,115,116Central Palacio,117,118Equipo,119,120Central Carrasco,121,122Equipo,123,124Cerro,125,126Equipo,127,128Telecentro Carrasco,129,130Equipo,131,132Carrasco (Stella Park) IP fija c/emulación,133,134Equipo,135,136Carrasco (Stella Park) IP fija s/emulación,137,138Equipo,139,140Costera Punta Carretas,141,142Equipo,143,144Telecentro Rural del Prado,145,146Equipo,147,148Telecentro MAM,149,150Equipo,151,152Telecentro Zonamerica,153,154Equipo,155,156Nuevo Centro Shopping,157,158Equipo,159,160Parque Rodo - Distribuidor de Cobre,161,162Equipo,163,164Central Cerrito,165,166Equipo,167,168Tienda Unión,169,170Equipo,171,172Montevideo Shopping,173,174Equipo,175IP Fija,176,177Montevideo Shopping,178,179Equipo,180IP Emulacion,181,182Terminal Colon,183,184Equipo,185,186Fernandez Crespo,187,188Equipo,189,190Obrador Antel Arena,191,192Equipo,193,194LATU - Edificio CDC,195,196Equipo,197,198Central Punta Carretas,199,200Equipo,201,202Terminal Belloni,203,204Equipo,205,206Central Ituzaingó,207,208Equipo,209,210Pocitos CPD Masini,211,212Equipo,213,214Central Euskalerria,215,216Equipo,217,218Torre de los Profesionales,219,220Equipo,221,222Tienda Punta Carretas,223,224Equipo,225,226Central Sayago,227,228Equipo,229,230Tres Cruces Tienda,231,232Equipo,233,234Plaza Italia,235,236Equipo
Rango Eq. Comunic,,10.37.145,1,,,10.35.17,1,,,,10.37.33,1,,,10.37.127,1,,,10.37.17,1,,,10.37.161,1,,,,10.37.49,1,,,,10.37.50,1,,,10.37.118,1,,,10.37.119,1,Ocupada,,10.37.124,1,Ocupada,,10.38.8,1,,,10.37.4,1,,,10.37.19,1,,,10.37.120,1,,,10.37.129,1,,,,10.37.115,1,,,10.37.177,1,,,10.37.112,1,,,10.37.226,1,,,10.37.193,1,,,10.37.123,1,,,10.37.121,1,,,10.37.113,1,,,10.37.117,1,,,10.37.80,1,Ocupada,,10.37.81,1,Ocupada,,,10.37.100,1,Ocupada,,10.37.82,1,,,10.37.225,1,,,10.37.114,1,,,10.37.84,1,,,10.37.85,1,,,10.37.122,1,,,10.37.90,1,,,10.37.60,1,,,10.37.64,1,,,10.37.69,1,,,10.37.146,1,,,10.37.168,1,,,10.37.172,1,,,10.38.88,1,Reservado,,,10.38.89,1,Reservado,,,10.37.176,1,,,10.32.52,1,,,10.37.180,1,,,10.38.112,1,,,10.37.98,1,,,10.37.188,1,,,10.37.220,1,,,10.38.120,1,,,10.37.184,1,,,10.38.116,1,,,10.37.21,1,,,10.37.228,1,Router,,10.38.97,1,Router,,10.38.124,1,Router
Rango Eq. Comunic,,,2,,,,2,V1161683,,,,2,,,,2,,,,2,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,2,,,,2,,,,2,,,Centro Comercial Carrasco,2,,,T54nnnnn,2,,,T55nnnnn,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,Reservado,,,,2,Reservado,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
Rango Eq. Comunic,,,3,,,,3,LIBRE,,,,3,,,,3,,,,3,,,,3,,,,,3,,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,,3,,,,3,,,,3,,,,3,,,Hay DHCP,3,,,Hay DHCP,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,Reservado,,,,3,Reservado,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,
Rango Eq. Comunic,,,4,,,,4,LIBRE,,,,4,,,,4,,,,4,,,,4,,,,,4,,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,Reservado,,,,4,Reservado,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,
Rango Eq. Comunic,,,5,,,,5,LIBRE,,,,5,,,,5,,,,5,,,,5,,,,,5,,,,,5,,,,5,Servidor,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,Ocupada,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,Reservado,,,,5,Reservado,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,
Rango Eq. Comunic,,,6,,,,6,OCUPADA,,,,6,,,,6,,,,6,,,,6,,,,,6,,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,Reservado,,,,6,Reservado,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,
Rango Eq. Comunic,,,7,,,,7,LIBRE,,,,7,,,,7,,,,7,,,,7,,,,,7,,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,Reservado,,,,7,Reservado,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,
Rango Eq. Comunic,,,8,,,,8,LIBRE,,,,8,,,,8,,,,8,,,,8,,,,,8,,,,,8,,,,8,,,,8,,,,8,Ocupada,,,8,,,,8,,,,8,,,,8,,,,8,,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,switch,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,Reservado,,,,8,Reservado,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,Switch,,,8,Switch,,,8,Switch
Rango Eq. Comunic,,,9,,,,9,LIBRE,,,,9,,,,9,,,,9,,,,9,,,,,9,,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,Reservado,,,,9,Reservado,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,Switch,,,9,
Rango Eq. Comunic,,,10,,,,10,LIBRE,,,,10,,,,10,,,,10,,,,10,,,,,10,,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,Reservado,,,,10,Reservado,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,
Rango Eq. Comunic,,,11,,,,11,LIBRE,,,,11,,,,11,,,,11,,,,11,,,,,11,,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,Reservado,,,,11,Reservado,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,
Rango Eq. Comunic,,,12,,,,12,LIBRE,,,,12,,,,12,,,,12,,,,12,,,,,12,,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,Reservado,,,,12,Reservado,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,
Rango Eq. Comunic,,,13,,,,13,LIBRE,,,,13,,,,13,,,,13,,,,13,,,,,13,Ocupada,T3161722,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,Reservado,,,,13,Reservado,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,
Rango Print Servers,,,14,,,,14,LIBRE,,,,14,,,,14,,,,14,,,,14,,,,,14,Ocupada,T3160876,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,Reservado,,,,14,Reservado,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,
Rango Print Servers,,,15,T9160279,,,15,V1160117,,,,15,T2160415,,,15,T7F60719,,,15,ocupada,T1160412,,15,TA161354,,,,15,Ocupada,T3160109,,,15,,,,15,Ocupada,,,15,Ocupada,T7760272,,15,,,,15,Y0860817,,,15,Ocupada,T0460149,,15,,,,15,T7860181,,,15,liberada,,,,15,T7360812,,,15,TB160712,,,15,T7061088,,,15,TE260805,,,15,Ocupada,TC160832,,15,Liberada,,,15,T7960060,,,15,Ocupada,,,15,T7560810,,,15,T5060114,,,15,T5161522,,,,15,,,,15,,,,15,TE160860,,,15,T7260551,,,15,,,,15,T5560822,,,15,T7A61388,,,15,T5A61289,,,15,T3C61341,,,15,T4061410,,,15,T4561310,,,15,,,,15,T3161424,,,15,TAC61419,,,15,Y5861431,,,,15,Y5960882,,,,15,TB061457,,,15,S3461367,,,15,Liberada,,,15,Y7061912,,,15,OCUPADA,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,T1560438,,,15,TE462035,,,15,Y6162082,,,15,Y7C62171
Rango Print Servers,,,16,T9160471,,,16,V1160122,,,,16,T2160509,,,16,T7F60859,Liberada,,16,ocupada,T1160640,,16,TA161550,,,,16,Ocupada,T3160417,,,16,T3261933,,,16,liberada,T7660262,,16,Ocupada,T7760521,,16,,,,16,Y0861267,,,16,Ocupada,T0460168,,16,,,,16,T7860651,,,16,Ocupada,,,,16,T7360948,,,16,TB160713,,,16,,,,16,TE261270,,,16,Ocupada,TC160915,,16,,,,16,liberada,,,16,Ocupada,T7160838,,16,T7561708,,,16,T5060252,,,16,,,,,16,,,,16,,,,16,TE161019,,,16,,,,16,,,,16,T5560823,,,16,,,,16,T5A61842,,,16,T3C61375,,,16,T4061707,,,16,T4561311,,,16,,,,16,TA861427,,,16,TAC61420,,,16,Y5861432,,,,16,Y5960064,,,,16,TB061473,,,16,,,,16,Liberada,,,16,Y7061367,,,16,T6262036,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,T1560207,,,16,,,,16,Y6162083,,,16,Y7C62172
